Species Name,"Organism
Type",Synonyms,Common Names,Broad Habitat,Exotic in,Invasive in,Main Reference
Aleurites moluccana,Plant - Tree,,Avellano (Dom Rep);,Terrestrial,"Antigua-Barbuda;Bahamas;Barbados;Cuba;Dominica;Dominican
Republic;Grenada;Guadelope;Haiti;Jamaica;M artinique;Montserrat;Netherlands
Antilles;Puerto Rico;St. Kitts-Nevis;St. Lucia;St. Vincent- Grenadines;Trinidad-
Tobago;US Virgin Islands;",Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Aleurocanthus woglumi,"Invertebrate -
Insect",,Citrus blackfly;Mosca negra de los citricos (DR);,Terrestrial,Jamaica;Bahamas Islands;Dominican Republic;,Jamaica;Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Aleurocanthus woglumi,"Invertebrate -
Insect",,Citrus blackfly;Mosca negra de los citricos (DR);,Terrestrial,Jamaica;Bahamas Islands;Dominican Republic;,Jamaica;Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Aleurodicus dispersus,"Invertebrate -
Insect",,Spiraling whitefly;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Aleurodicus dispersus,"Invertebrate -
Insect",,Spiraling whitefly;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Aleurothrixus floccosus,"Invertebrate -
Insect",,Woolly whitefly;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Aleurothrixus floccosus,"Invertebrate -
Insect",,Woolly whitefly;,Terrestrial,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Allotrope sp.,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Allotrope sp.,"Invertebrate -
Insect",,,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Alpinia zerumbet,Plant - Herb,,,,Anguilla;Puerto Rico;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Alpinia zerumbet,Plant - Herb,,,,Anguilla;Puerto Rico;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Alpinnia allughas,Plant - Herb,,,Terrestrial,Jamaica;,Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Alpinnia allughas,Plant - Herb,,,Terrestrial,Jamaica;,Jamaica;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Alternanthera philoxeroides,Plant - Herb,,Yerba Caiman;Alligator weed;,Freshwater,Puerto Rico;Trinidad-Tobago;Honduras;Mexico;Florida;Texas;Louisiana;,Puerto Rico;Florida;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Alternanthera philoxeroides,Plant - Herb,,Yerba Caiman;Alligator weed;,Freshwater,Puerto Rico;Trinidad-Tobago;Honduras;Mexico;Florida;Texas;Louisiana;,Puerto Rico;Florida;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Alternanthera sessilis,Plant - Herb,,,,Puerto Rico;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Alternanthera sessilis,Plant - Herb,,,,Puerto Rico;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Alysicarpus vaginalis,Plant - Herb,,Alyce clover;One-leaf clover;White moneywort;,Terrestrial,Domincian Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Alysicarpus vaginalis,Plant - Herb,,Alyce clover;One-leaf clover;White moneywort;,Terrestrial,Domincian Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Amazona ochrocephala,Vertebrate - Bird,,"yellow-crowned amazon parrot;yellow -crowned
parrot;",Terrestrial,Curacao;Trinidad?,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Amazona ochrocephala,Vertebrate - Bird,,"yellow-crowned amazon parrot;yellow -crowned
parrot;",Terrestrial,Curacao;Trinidad?,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Amblyomma variegatum,Invertebrate - Tick,,Tropical bont tick,,Guadeloupe;St. Vincent;Antigua;St. Croix;,,"Barré N, Garris G and Camus E. ""Propagation of the tick
Amblyomma variegatum in the Caribbean."" Rev Sci Tech. 1995
Sep;14(3):841-55. Abstract.
<http://www.ncbi.nlm.nih.gov/pubmed/8593414> Aug. 13."
Amblyomma variegatum,Invertebrate - Tick,,Tropical bont tick,,Guadeloupe;St. Vincent;Antigua;St. Croix;,,"Barré N, Garris G and Camus E. ""Propagation of the tick
Amblyomma variegatum in the Caribbean."" Rev Sci Tech. 1995
Sep;14(3):841-55. Abstract.
<http://www.ncbi.nlm.nih.gov/pubmed/8593414> Aug. 13."
Ambrosia artemisiifolia,Plant - Herb,,Common Ragweed(ISC),,Martinique;Guadeloupe;Cuba;Jamaica;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Ambrosia artemisiifolia,Plant - Herb,,Common Ragweed(ISC),,Martinique;Guadeloupe;Cuba;Jamaica;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Ameiurus nebulosus,Vertebrate - Fish,,Brown Bullhead(ISC),,Puerto Rico;Netherlands Antilles;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Ameiurus nebulosus,Vertebrate - Fish,,Brown Bullhead(ISC),,Puerto Rico;Netherlands Antilles;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Amerianna carinata,"Invertebrate -
Mollusc",,,Freshwater,Martinique;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Amerianna carinata,"Invertebrate -
Mollusc",,,Freshwater,Martinique;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Ammotrechella stimpsoni,"Invertebrate -
Solifugid
(wind scorpion)",,Caribbean solifugid;,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Ammotrechella stimpsoni,"Invertebrate -
Solifugid
(wind scorpion)",,Caribbean solifugid;,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Amphiprion sp.,Vertebrate - Fish,,Clown fish (Bahamas Islands);,Marine,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Amphiprion sp.,Vertebrate - Fish,,Clown fish (Bahamas Islands);,Marine,Bahamas Islands;,Bahamas Islands;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Ampullaria glauca,"Invertebrate -
Mollusc",,Caracol del arroz (Dom Rep);,Terrestrial,Dominican Republic;Haiti;,Dominican Republic;Haiti;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Ampullaria glauca,"Invertebrate -
Mollusc",,Caracol del arroz (Dom Rep);,Terrestrial,Dominican Republic;Haiti;,Dominican Republic;Haiti;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anas platyrhynchos,Vertebrate - Bird,,,,Cayman Islands;Bermuda;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Anas platyrhynchos,Vertebrate - Bird,,,,Cayman Islands;Bermuda;,,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Anastrepha obliqua,"Invertebrate -
Insect",,West Indian fruit fly;,Terrestrial,"Dominican Republic;Barbados;Antigua-
Barbuda;Dominica;Guadeloupe;Monsterrat;Netherlands Antilles;St. Lucia;St.
Kitts-Nevis;St. Vincent-Grenadines;","Dominican Republic;Barbados;Antigua-
Barbuda;Dominica;Guadeloupe;Monsterrat;Netherlands Antilles;St. Lucia;St. Kitts-
Nevis;St. Vincent-Grenadines;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anastrepha obliqua,"Invertebrate -
Insect",,West Indian fruit fly;,Terrestrial,"Dominican Republic;Barbados;Antigua-
Barbuda;Dominica;Guadeloupe;Monsterrat;Netherlands Antilles;St. Lucia;St.
Kitts-Nevis;St. Vincent-Grenadines;","Dominican Republic;Barbados;Antigua-
Barbuda;Dominica;Guadeloupe;Monsterrat;Netherlands Antilles;St. Lucia;St. Kitts-
Nevis;St. Vincent-Grenadines;","Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anastrepha suspensa,"Invertebrate -
Insect",,Caribbean fruit fly;,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anastrepha suspensa,"Invertebrate -
Insect",,Caribbean fruit fly;,Terrestrial,Bahamas Islands;,,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Angiopteris evecta,Fern,,,,Cuba;Jamaica;,Jamaica;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Angiopteris evecta,Fern,,,,Cuba;Jamaica;,Jamaica;,"ISSG, 2011. Global Invasive Species Database (GISD). Invasive
Species Specialist Group of the IUCN Species Survival Commission.
http://www.issg.org/database"
Annona squamosa,Plant - Tree,,Sugar Apple(ISC),Terrestrial,"Puerto Rico;Anguilla;
Bahamas;Cuba;Dominican Republic;Haiti;Jamaica;Martinique;Trinidad-
Tobago;US Virgin Islands;Turks-Caicos;",,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Annona squamosa,Plant - Tree,,Sugar Apple(ISC),Terrestrial,"Puerto Rico;Anguilla;
Bahamas;Cuba;Dominican Republic;Haiti;Jamaica;Martinique;Trinidad-
Tobago;US Virgin Islands;Turks-Caicos;",,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anodonta sp.,"Invertebrate -
Mollusc",,Caracol (Dom Rep);,Freshwater,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anodonta sp.,"Invertebrate -
Mollusc",,Caracol (Dom Rep);,Freshwater,Dominican Republic;,Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anolis aeneus,Vertebrate - Reptile,,,Terrestrial,Trinidad-Tobago;Guyana;,Trinidad-Tobago;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anolis aeneus,Vertebrate - Reptile,,,Terrestrial,Trinidad-Tobago;Guyana;,Trinidad-Tobago;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anolis carolinensis,Vertebrate - Reptile,,,Terrestrial,Anguilla;Cayman Islands;,Anguilla;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anolis carolinensis,Vertebrate - Reptile,,,Terrestrial,Anguilla;Cayman Islands;,Anguilla;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anolis cristatellus,Vertebrate - Reptile,,,Terrestrial,Dominica;Dominican Republic;,Dominica;Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
Anolis cristatellus,Vertebrate - Reptile,,,Terrestrial,Dominica;Dominican Republic;,Dominica;Dominican Republic;,"Kairo, M., Ali, B. Cheesman, O., Haysom, K. and Murphy, S. 2003.
Invasive species threats in the Caribbean Region. Report to The
Nature Conservancy. 134 pp <http://tinyurl.com/awoxl or
http://www.issg.org/database/species/reference_files/Kairo et al,
2003.pdf>"
